repo,url,how,evidence_url
NeuroAI-PNU/openmm-tutorial,https://github.com/NeuroAI-PNU/openmm-tutorial,import openff.toolkit (Jupyter notebook),https://github.com/NeuroAI-PNU/openmm-tutorial/blob/c6ff0e53775712cbaa0dfe2346aa0170caf883cc/User%20guide%20cookbook/20_1%20OpencaddT19%20MD.ipynb
Nithishwer/abflow,https://github.com/Nithishwer/abflow,import openff.toolkit (Python),https://github.com/Nithishwer/abflow/blob/89c36a459eb0256716e6072651a149e3b7800a2e/abfe/utils/smirnoff_param_func.py
OdinZhang/AI-Docking-Evaluation,https://github.com/OdinZhang/AI-Docking-Evaluation,from openff.toolkit import ... (Python),https://github.com/OdinZhang/AI-Docking-Evaluation/blob/4e9b66a3911822af38ff3a158aeff55838acc0e9/DynamicBind/utils/relax.py
Open-Catalyst-Project/om-data,https://github.com/Open-Catalyst-Project/om-data,import openff.toolkit (Python),https://github.com/Open-Catalyst-Project/om-data/blob/32f10cd9dfe6740ef9d4ff1ed9d2956e45081b07/electrolytes/water_cluster/water_cluster.py
OpenDrugDiscovery/openQMComputations,https://github.com/OpenDrugDiscovery/openQMComputations,import openff.toolkit (Python),https://github.com/OpenDrugDiscovery/openQMComputations/blob/626451bd2638a5539a0f4ce1e97aee4738591078/opendata/collections/non_covalents.py
OpenDrugDiscovery/openfractal-client,https://github.com/OpenDrugDiscovery/openfractal-client,import openff.toolkit (Jupyter notebook),https://github.com/OpenDrugDiscovery/openfractal-client/blob/8c0985a66902739423ba6b337e173bc73e64dc3d/docs/tutorials/03_export_dataset.ipynb
OpenFreeEnergy/ExampleNotebooks,https://github.com/OpenFreeEnergy/ExampleNotebooks,import openff.toolkit (Jupyter notebook),https://github.com/OpenFreeEnergy/ExampleNotebooks/blob/f94d74614944cb34c5e98f8d116c3467fbf68e28/cookbook/user_charges.ipynb
OpenFreeEnergy/IndustryBenchmarks2024,https://github.com/OpenFreeEnergy/IndustryBenchmarks2024,from openff.toolkit import ... (Python),https://github.com/OpenFreeEnergy/IndustryBenchmarks2024/blob/ff41e5ad0fda89b352341e3f6511bee25db0000a/industry_benchmarks/utils/plan_rbfe_network.py
OpenFreeEnergy/feflow,https://github.com/OpenFreeEnergy/feflow,import openff.toolkit (Python),https://github.com/OpenFreeEnergy/feflow/blob/83160889d37a5800ab1a8a20fe774223936d6d4b/feflow/protocols/nonequilibrium_cycling.py
OpenFreeEnergy/gufe,https://github.com/OpenFreeEnergy/gufe,import openff.toolkit (Python),https://github.com/OpenFreeEnergy/gufe/blob/85711c335286f61df65a86d5d67443269158c768/gufe/tests/test_smallmoleculecomponent.py
OpenFreeEnergy/kartograf,https://github.com/OpenFreeEnergy/kartograf,import openff.toolkit (Python),https://github.com/OpenFreeEnergy/kartograf/blob/51a74cfc2388b92b277ffd57d71a225838c72ac1/src/kartograf/utils/optional_imports.py
OpenFreeEnergy/konnektor,https://github.com/OpenFreeEnergy/konnektor,import openff.toolkit (Python),https://github.com/OpenFreeEnergy/konnektor/blob/51684201166840abda7d8a6136de91011ea4ae06/src/konnektor/utils/optional_import.py
OpenFreeEnergy/openfe,https://github.com/OpenFreeEnergy/openfe,import openff.toolkit (Python),https://github.com/OpenFreeEnergy/openfe/blob/461bf6017ee0a54ae29d033d072102698e990123/src/openfe/utils/optional_imports.py
